contents,Es_keV,y_m,PrReach,uPrReach,PrDet,uPrDet
f,350,-10,5.620000779999999e-7,1.0016764248302898e-8,3.7416657949999995e-7,7.93906573534449e-9
f,350,-7.5,9.215e-7,2.2222712333725152e-8,6.130000000000001e-7,1.7578733745068212e-8
f,350,-5,1.8405000000000002e-6,3.1332689430130316e-8,1.1984999999999998e-6,2.460139098780799e-8
f,350,-2.5,3.2000000000000005e-5,4.128420730978736e-7,2.0085e-5,3.1966182428153664e-7
f,350,-2,9.039499999999999e-5,6.945207268127424e-7,5.7525e-5,5.406223601752891e-7
f,350,-1.5,2.3895500000000003e-4,1.1251101730827297e-6,1.54955e-4,8.862783419723456e-7
f,350,-1,5.097699999999999e-4,1.6410267709681798e-6,3.346549999999999e-4,1.3011143747260461e-6
f,350,-0.5,8.062949999999998e-4,2.0636081145156898e-6,5.331250000000002e-4,1.641337047926857e-6
f,350,0,9.378750000000002e-4,2.223469881781795e-6,6.211849999999999e-4,1.7710560168922526e-6
f,400,-15,2.771999999999999e-7,7.720286698122033e-9,1.8e-7,6.020318232950814e-9
f,400,-12.5,4.454999415e-7,8.93108809520772e-9,2.9050004299999996e-7,6.994227296014633e-9
f,400,-10,7.20000208e-7,1.1275840605294762e-8,4.828333485e-7,9.010683403833099e-9
f,400,-7.5,1.2685000000000002e-6,2.584255003850239e-8,8.475000000000003e-7,2.0717948548179187e-8
f,400,-5,2.3995000000000005e-6,3.576974871326328e-8,1.5639999999999998e-6,2.8221392250914907e-8
f,400,-2.5,4.304000000000001e-5,4.786298654093264e-7,2.7095000000000004e-5,3.703101600827339e-7
f,400,-2,1.18115e-4,7.91406089900754e-7,7.522499999999997e-5,6.172823648262601e-7
f,400,-1.5,3.1193999999999997e-4,1.28438515281048e-6,2.0094499999999998e-4,1.009217232080636e-6
f,400,-1,6.532500000000001e-4,1.8545978177478935e-6,4.2754500000000004e-4,1.470944411959626e-6
f,400,-0.5,0.00102417,2.320382241026734e-6,6.754249999999999e-4,1.8488359761342408e-6
f,400,0,0.0011849250000000007,2.4936825008389205e-6,7.8444e-4,1.992445250029659e-6
f,450,-15,3.369999999999999e-7,8.510778279616969e-9,2.2059999999999995e-7,6.665911576941297e-9
f,450,-12.5,5.313333360000001e-7,9.744367481848247e-9,3.5016672900000006e-7,7.696759214526387e-9
f,450,-10,9.218332485000001e-7,1.2776028820575074e-8,6.043334520000002e-7,1.0067709202194645e-8
f,450,-7.5,1.4985000000000003e-6,2.814815365974294e-8,1.0154999999999998e-6,2.2709796804903382e-8
